token序列如下所示:
索引	行号	类型id	词名name	
0	2	RES	program
1	2	ID	p
2	4	RES	type
3	5	ID	sint
4	5	SYM	=
5	5	RES	integer
6	5	SYM	;
7	7	ID	srecord
8	7	SYM	=
9	7	RES	record
10	8	RES	integer
11	8	ID	x
12	8	SYM	;
13	9	RES	char
14	9	ID	y
15	9	SYM	,
16	9	ID	z
17	9	SYM	;
18	10	RES	end
19	10	SYM	;
20	12	ID	sarray
21	12	SYM	=
22	12	RES	array
23	12	SYM	[
24	12	NUM	0
25	12	SYM	..
26	12	NUM	5
27	12	SYM	]
28	12	RES	of
29	12	RES	integer
30	12	SYM	;
31	14	RES	var
32	15	RES	array
33	15	SYM	[
34	15	NUM	1
35	15	SYM	..
36	15	NUM	20
37	15	SYM	]
38	15	RES	of
39	15	RES	integer
40	15	ID	ccc
41	15	SYM	;
42	16	RES	record
43	17	RES	integer
44	17	ID	x
45	17	SYM	;
46	18	RES	char
47	18	ID	y
48	18	SYM	,
49	18	ID	z
50	18	SYM	;
51	19	RES	end
52	19	ID	rec
53	19	SYM	;
54	20	RES	array
55	20	SYM	[
56	20	NUM	1
57	20	SYM	..
58	20	NUM	20
59	20	SYM	]
60	20	RES	of
61	20	RES	char
62	20	ID	g
63	20	SYM	;
64	21	RES	integer
65	21	ID	i1
66	21	SYM	,
67	21	ID	i2
68	21	SYM	;
69	22	RES	char
70	22	ID	c1
71	22	SYM	;
72	23	ID	sarray
73	23	ID	sarr1
74	23	SYM	;
75	24	ID	srecord
76	24	ID	sr1
77	24	SYM	;
78	25	RES	integer
79	25	ID	i3
80	25	SYM	;
81	28	RES	procedure
82	28	ID	q
83	28	SYM	(
84	28	RES	integer
85	28	ID	i
86	28	SYM	;
87	28	ID	srecord
88	28	ID	s
89	28	SYM	)
90	28	SYM	;
91	29	RES	var
92	30	RES	integer
93	30	ID	a
94	30	SYM	;
95	31	RES	char
96	31	ID	c
97	31	SYM	;
98	32	RES	begin
99	33	ID	i
100	33	SYM	:=
101	33	NUM	1
102	33	SYM	;
103	34	ID	a
104	34	SYM	:=
105	34	NUM	1
106	34	SYM	;
107	35	RES	write
108	35	SYM	(
109	35	ID	a
110	35	SYM	)
111	36	RES	end
112	39	RES	procedure
113	39	ID	p
114	39	SYM	(
115	39	ID	srecord
116	39	ID	s
117	39	SYM	)
118	39	SYM	;
119	40	RES	var
120	41	RES	integer
121	41	ID	a
122	41	SYM	;
123	42	RES	begin
124	43	ID	a
125	43	SYM	:=
126	43	NUM	1
127	44	RES	end
128	47	RES	procedure
129	47	ID	r
130	47	SYM	(
131	47	SYM	)
132	47	SYM	;
133	48	RES	var
134	49	RES	integer
135	49	ID	a
136	49	SYM	;
137	50	RES	begin
138	51	ID	a
139	51	SYM	:=
140	51	NUM	1
141	51	SYM	;
142	52	ID	a
143	52	SYM	:=
144	52	NUM	10
145	53	RES	end
146	56	RES	begin
147	59	RES	read
148	59	SYM	(
149	59	ID	i1
150	59	SYM	)
151	59	SYM	;
152	60	ID	r
153	60	SYM	(
154	60	SYM	)
155	60	SYM	;
156	61	ID	q
157	61	SYM	(
158	61	ID	i3
159	61	SYM	,
160	61	ID	sr1
161	61	SYM	)
162	61	SYM	;
163	62	ID	ccc
164	62	SYM	[
165	62	NUM	1
166	62	SYM	+
167	62	ID	i1
168	62	SYM	]
169	62	SYM	:=
170	62	ID	ccc
171	62	SYM	[
172	62	NUM	20
173	62	SYM	]
174	62	SYM	;
175	63	ID	rec
176	63	SYM	.
177	63	ID	x
178	63	SYM	:=
179	63	NUM	1
180	63	SYM	+
181	63	ID	rec
182	63	SYM	.
183	63	ID	x
184	63	SYM	;
185	64	ID	sr1
186	64	SYM	.
187	64	ID	y
188	64	SYM	:=
189	64	ID	rec
190	64	SYM	.
191	64	ID	y
192	64	SYM	+
193	64	ID	rec
194	64	SYM	.
195	64	ID	y
196	64	SYM	;
197	65	ID	sr1
198	65	SYM	.
199	65	ID	x
200	65	SYM	:=
201	65	ID	sr1
202	65	SYM	.
203	65	ID	x
204	65	SYM	+
205	65	ID	sr1
206	65	SYM	.
207	65	ID	x
208	65	SYM	;
209	66	ID	sarr1
210	66	SYM	[
211	66	NUM	0
212	66	SYM	]
213	66	SYM	:=
214	66	ID	sarr1
215	66	SYM	[
216	66	NUM	1
217	66	SYM	]
218	66	SYM	+
219	66	NUM	1
220	66	SYM	;
221	67	ID	ccc
222	67	SYM	[
223	67	NUM	1
224	67	SYM	]
225	67	SYM	:=
226	67	ID	ccc
227	67	SYM	[
228	67	NUM	1
229	67	SYM	+
230	67	ID	i1
231	67	SYM	]
232	67	SYM	+
233	67	ID	sarr1
234	67	SYM	[
235	67	NUM	1
236	67	SYM	]
237	67	SYM	;
238	69	RES	while
239	69	ID	i1
240	69	SYM	/
241	69	NUM	10
242	69	SYM	=
243	69	NUM	1
244	69	RES	do
245	70	ID	i1
246	70	SYM	:=
247	70	NUM	1
248	71	RES	endwh
249	71	SYM	;
250	72	ID	ccc
251	72	SYM	[
252	72	NUM	12
253	72	SYM	]
254	72	SYM	:=
255	72	ID	ccc
256	72	SYM	[
257	72	NUM	11
258	72	SYM	]
259	72	SYM	+
260	72	NUM	11
261	72	SYM	;
262	73	ID	g
263	73	SYM	[
264	73	NUM	12
265	73	SYM	]
266	73	SYM	:=
267	73	ID	g
268	73	SYM	[
269	73	NUM	13
270	73	SYM	]
271	73	SYM	;
272	74	RES	if
273	74	ID	i1
274	74	SYM	+
275	74	NUM	5
276	74	SYM	<
277	74	NUM	10
278	75	RES	then
279	76	ID	i1
280	76	SYM	:=
281	76	ID	i1
282	76	SYM	+
283	76	NUM	10
284	77	RES	else
285	78	ID	i1
286	78	SYM	:=
287	78	ID	i1
288	78	SYM	-
289	78	NUM	10
290	79	RES	fi
291	79	SYM	;
292	80	ID	p
293	80	SYM	(
294	80	ID	sr1
295	80	SYM	)
296	81	RES	end
297	81	SYM	.
